she's,she is,she has
she'll,she will
she'd,she had,she would
he's,he is,he has
he'll,he will
he'd,he had,he would
it's,it is,it has
it'll,it will
it'd,it had
i'm,i am
i'll,i will
i've,i have
i'd,i had,i would
you're,you are
you'll,you will
you've,you have
you'd,you had,you would
we're,we are
we'll,we will
we've,we have
we'd,we had,we would
they're,they are
they'll,they will
they've,they have
they'd,they had,they would
who's,who is,who has
who're,who are
who'll,who will
that's,that is,that has
that'll,that will
this'll,this will
these'are,these are
those'are,those are
what's,what is,what has
where's,where is
there's,there is
isn't,is not
wasn't,was not
aren't,are not
were't,were not
don't,do not
doesn't,does not
didn't,did not
can't,can not,cannot
couldn't,could not
won't,will not
wouldn't,would not
shouldn't,should not
haven't,have not
hasn't,has not
mustn't,must not
