isn't	is not
wasn't	was not
aren't	are not
were't	were not
don't	do not
doesn't	does not
didn't	did not
can't	can not
couldn't	could not
won't	will not
wouldn't	would not
shouldn't	should not
haven't	have not
hasn't	has not
mustn't	must not
i'm	i am
you're	you are
he's	he is
she's	she is
it's	it is
we're	we are
they're	they are
that's	that is
these're	these are
those're	those are
who's	who is
who're	who are
what's	what is
where's	where is
i'll	i will
you'll	You will
he'll	he will
she'll	she will
it'll	it will
we'll	we will
they'll	they will
this'll	this will
that'll	that will
who'll	who will
i've	i have
you've	you have
he's	he has
she's	she has
it's	it has
we've	we have
they've	they have
i'd	i had
you'd	you had
he'd	he had
she'd	she had
it'd	it had
we'd	we had
they'd	they had
i'd	i would
you'd	you would
he'd	he would
she'd	she would
we'd	we would
they'd	they would
there's	there is
